year,month,prefectures,Infected
2020,9,Fukui,7283
2020,9,Fukuoka,147266
2020,9,Fukushima,6298
2020,9,Gifu,17681
2020,9,Gunma,17542
2020,9,Hiroshima,14402
2020,9,Hokkaido,57662
2020,9,Hyogo,75114
2020,9,Ibaraki,18278
2020,9,Ishikawa,21999
2020,9,Iwate,683
2020,9,Kagawa,2665
2020,9,Kagoshima,11386
2020,9,Kanagawa,180822
2020,9,Kochi,4058
2020,9,Kumamoto,16825
2020,9,Kyoto,48701
2020,9,Mie,13599
2020,9,Miyagi,9377
2020,9,Miyazaki,10250
2020,9,Nagano,8851
2020,9,Nagasaki,7052
2020,9,Nara,16433
2020,9,Niigata,4680
2020,9,Oita,4703
2020,9,Okayama,4441
2020,9,Okinawa,69192
2020,9,Osaka,291076
2020,9,Saga,7288
2020,9,Saitama,129746
2020,9,Shiga,14232
2020,9,Shimane,4129
2020,9,Shizuoka,15254
2020,9,Tochigi,10928
2020,9,Tokushima,4365
2020,9,Tokyo,700304
2020,9,Tottori,898
2020,9,Toyama,12225
2020,9,Wakayama,7075
2020,9,Yamagata,2340
2020,9,Yamaguchi,5730
2020,9,Yamanashi,5355
2020,10,Aichi,175302
2020,10,Akita,1829
2020,10,Aomori,3160
2020,10,Chiba,138682
2020,10,Ehime,3578
2020,10,Fukui,7797
2020,10,Fukuoka,158932
2020,10,Fukushima,10382
2020,10,Gifu,20081
2020,10,Gunma,24520
2020,10,Hiroshima,19693
2020,10,Hokkaido,78433
2020,10,Hyogo,92448
2020,10,Ibaraki,22235
2020,10,Ishikawa,24468
2020,10,Iwate,783
2020,10,Kagawa,3006
2020,10,Kagoshima,14042
2020,10,Kanagawa,242247
2020,10,Kochi,4339
2020,10,Kumamoto,21977
2020,10,Kyoto,58476
2020,10,Mie,16840
2020,10,Miyagi,16124
2020,10,Miyazaki,11044
2020,10,Nagano,10037
2020,10,Nagasaki,7464
2020,10,Nara,18828
2020,10,Niigata,5515
2020,10,Oita,4914
2020,10,Okayama,5724
2020,10,Okinawa,89686
2020,10,Osaka,356530
2020,10,Saga,7758
2020,10,Saitama,163247
2020,10,Shiga,16226
2020,10,Shimane,4346
2020,10,Shizuoka,17961
2020,10,Tochigi,14226
2020,10,Tokushima,4821
2020,10,Tokyo,883414
2020,10,Tottori,1121
2020,10,Toyama,13084
2020,10,Wakayama,7944
2020,10,Yamagata,2526
2020,10,Yamaguchi,6467
2020,10,Yamanashi,6189
2020,11,Aichi,233559
2020,11,Akita,2202
2020,11,Aomori,8231
2020,11,Chiba,177058
2020,11,Ehime,5158
2020,11,Fukui,8452
2020,11,Fukuoka,162886
2020,11,Fukushima,13292
2020,11,Gifu,25238
2020,11,Gunma,29926
2020,11,Hiroshima,21396
2020,11,Hokkaido,172257
2020,11,Hyogo,125906
2020,11,Ibaraki,31681
2020,11,Ishikawa,24872
2020,11,Iwate,2620
2020,11,Kagawa,3552
2020,11,Kagoshima,16602
2020,11,Kanagawa,311650
2020,11,Kochi,4366
2020,11,Kumamoto,27277
2020,11,Kyoto,68997
2020,11,Mie,19883
2020,11,Miyagi,29313
2020,11,Miyazaki,12047
2020,11,Nagano,14844
2020,11,Nagasaki,7582
2020,11,Nara,26154
2020,11,Niigata,7508
2020,11,Oita,5820
2020,11,Okayama,12587
2020,11,Okinawa,113294
2020,11,Osaka,476471
2020,11,Saga,8461
2020,11,Saitama,209325
2020,11,Shiga,20161
2020,11,Shimane,4263
2020,11,Shizuoka,29298
2020,11,Tochigi,16140
2020,11,Tokushima,5178
2020,11,Tokyo,1060180
2020,11,Tottori,1495
2020,11,Toyama,13032
2020,11,Wakayama,10270
2020,11,Yamagata,3008
2020,11,Yamaguchi,8567
2020,11,Yamanashi,8278
2020,12,Aichi,406820
2020,12,Akita,3130
2020,12,Aomori,11797
2020,12,Chiba,269709
2020,12,Ehime,11615
2020,12,Fukui,10364
2020,12,Fukuoka,217462
2020,12,Fukushima,21144
2020,12,Gifu,49990
2020,12,Gunma,54669
2020,12,Hiroshima,58491
2020,12,Hokkaido,356649
2020,12,Hyogo,240400
2020,12,Ibaraki,63472
2020,12,Ishikawa,29203
2020,12,Iwate,9265
2020,12,Kagawa,6595
2020,12,Kagoshima,25231
2020,12,Kanagawa,501437
2020,12,Kochi,13021
2020,12,Kumamoto,41914
2020,12,Kyoto,106983
2020,12,Mie,33625
2020,12,Miyagi,50418
2020,12,Miyazaki,19394
2020,12,Nagano,30088
